Name,Team,Position,AverageDraftPosition,AverageDraftPositionPPR,ByeWeek,LastSeasonFantasyPoints,ProjectedFantasyPoints
Patrick Mahomes,KC,QB,16.2,24.1,12.0,422.3,449.0
Josh Allen,BUF,QB,35.9,42.2,7.0,445.6,432.8
Kyler Murray,ARI,QB,43.0,50.2,12.0,427.2,407.2
Dak Prescott,DAL,QB,48.3,60.5,7.0,151.9,402.5
Lamar Jackson,BAL,QB,50.9,56.2,8.0,375.4,398.3
Justin Herbert,LAC,QB,61.5,66.7,7.0,375.4,385.7
Russell Wilson,SEA,QB,64.6,73.5,9.0,405.8,383.5
Aaron Rodgers,GB,QB,73.1,81.7,13.0,431.2,372.1
Tom Brady,TB,QB,82.9,92.3,9.0,381.2,364.2
Jalen Hurts,PHI,QB,91.4,108.4,14.0,122.3,364.4
Matthew Stafford,LAR,QB,93.1,93.5,11.0,293.9,350.3
Joe Burrow,CIN,QB,103.2,112.6,10.0,196.0,338.7
Ryan Tannehill,TEN,QB,108.2,113.3,13.0,387.3,360.8
Trevor Lawrence,JAX,QB,124.2,136.5,7.0,0.0,317.8
Deshaun Watson,HOU,QB,131.2,145.2,10.0,416.6,292.9
Matt Ryan,ATL,QB,135.4,136.4,6.0,316.3,316.3
Carson Wentz,IND,QB,145.5,163.4,14.0,223.8,301.3
Jameis Winston,NO,QB,151.8,182.1,6.0,3.1,252.0
Baker Mayfield,CLE,QB,157.8,151.4,13.0,279.3,311.3
Kirk Cousins,MIN,QB,172.0,166.9,7.0,345.4,318.1
Cam Newton,NE,QB,172.9,288.8,14.0,292.1,210.6
Trey Lance,SF,QB,174.4,176.5,6.0,0.0,271.6
Justin Fields,CHI,QB,177.0,176.1,10.0,0.0,269.3
Ben Roethlisberger,PIT,QB,177.4,194.4,7.0,301.4,297.8
Tua Tagovailoa,MIA,QB,183.3,187.6,14.0,152.8,312.9
Ryan Fitzpatrick,WAS,QB,188.8,183.5,9.0,172.3,311.7
Taysom Hill,NO,QB,193.3,197.3,6.0,167.6,142.1
Derek Carr,LV,QB,194.8,195.6,8.0,307.0,310.3
Daniel Jones,NYG,QB,212.1,190.1,10.0,203.1,305.4
Zach Wilson,NYJ,QB,216.6,260.6,6.0,0.0,288.8
Sam Darnold,CAR,QB,221.1,261.7,13.0,151.2,282.6
Jared Goff,DET,QB,224.5,265.1,9.0,270.7,275.8
Teddy Bridgewater,DEN,QB,269.6,303.4,11.0,272.1,177.4
Tyrod Taylor,HOU,QB,274.1,307.9,10.0,10.2,171.7
Drew Lock,DEN,QB,291.0,323.7,11.0,204.5,144.6
Mac Jones,NE,QB,300.0,330.5,14.0,0.0,133.0
Jordan Love,GB,QB,317.0,353.1,13.0,0.0,114.2
Jimmy Garoppolo,SF,QB,330.5,370.0,6.0,72.6,97.2
Davis Mills,HOU,QB,336.1,379.0,10.0,0.0,90.8
Andy Dalton,CHI,QB,346.3,411.7,10.0,153.3,76.5
Gardner Minshew II,JAX,QB,398.2,467.0,7.0,180.1,53.6
Blake Bortles,GB,QB,414.0,483.9,13.0,0.0,48.6
Marcus Mariota,LV,QB,427.5,489.6,8.0,29.1,46.0
Mitchell Trubisky,BUF,QB,445.6,503.1,7.0,173.4,40.0
Kyle Trask,TB,QB,486.2,532.4,9.0,0.0,31.2
Kyle Allen,WAS,QB,506.5,547.1,9.0,50.8,28.9
Taylor Heinicke,WAS,QB,535.8,583.2,9.0,13.2,21.3
Jacoby Brissett,MIA,QB,540.3,588.8,14.0,23.2,20.7
Joe Flacco,PHI,QB,544.8,589.9,14.0,61.8,20.4
Jacob Eason,IND,QB,559.5,596.7,14.0,0.0,18.5
