Name,Team,Position,AverageDraftPosition,AverageDraftPositionPPR,ByeWeek,LastSeasonFantasyPoints,ProjectedFantasyPoints
Christian McCaffrey,CAR,RB,1.7000000000000002,1.7000000000000002,13.0,82.8,308.7
Dalvin Cook,MIN,RB,3.2,3.2,7.0,331.4,298.0
Derrick Henry,TEN,RB,3.4,4.8,13.0,354.3,303.9
Alvin Kamara,NO,RB,5.5,4.8,6.0,332.5,246.7
Ezekiel Elliott,DAL,RB,6.7,6.7,7.0,193.7,254.4
Saquon Barkley,NYG,RB,7.9,8.0,10.0,10.6,251.3
Nick Chubb,CLE,RB,8.5,9.3,13.0,216.2,260.6
Jonathan Taylor,IND,RB,9.3,10.1,14.0,244.6,261.4
Aaron Jones,GB,RB,12.1,14.1,13.0,239.0,241.0
Cam Akers,LAR,RB,14.3,19.1,11.0,102.4,0.0
Austin Ekeler,LAC,RB,15.5,11.6,7.0,125.5,209.5
Antonio Gibson,WAS,RB,16.4,18.7,9.0,187.5,227.8
Najee Harris,PIT,RB,19.2,17.8,7.0,0.0,228.2
Joe Mixon,CIN,RB,20.2,20.8,10.0,88.7,225.3
Clyde Edwards-Helaire,KC,RB,23.5,21.5,12.0,157.9,212.5
J.K. Dobbins,BAL,RB,25.4,27.9,8.0,169.8,215.4
Josh Jacobs,LV,RB,27.9,39.4,8.0,223.7,212.2
Chris Carson,SEA,RB,32.6,33.4,9.0,170.1,206.7
David Montgomery,CHI,RB,32.9,34.2,10.0,237.8,214.6
Miles Sanders,PHI,RB,36.9,37.6,14.0,160.6,210.4
D'Andre Swift,DET,RB,39.1,36.4,9.0,162.2,208.9
James Robinson,JAX,RB,43.7,53.2,7.0,227.2,159.6
Kareem Hunt,CLE,RB,47.4,53.0,13.0,203.6,163.7
Myles Gaskin,MIA,RB,49.4,44.9,14.0,139.0,188.2
Raheem Mostert,SF,RB,54.4,61.6,6.0,94.4,161.9
Mike Davis,ATL,RB,58.3,47.8,6.0,166.4,179.7
Melvin Gordon III,DEN,RB,61.8,78.4,11.0,187.7,139.7
Chase Edmonds,ARI,RB,68.2,67.8,12.0,129.7,162.3
Travis Etienne Jr.,JAX,RB,68.8,63.4,7.0,0.0,153.7
Javonte Williams,DEN,RB,74.7,70.6,11.0,0.0,157.3
Damien Harris,NE,RB,77.8,73.7,14.0,97.3,155.4
Ronald Jones II,TB,RB,79.5,89.2,9.0,178.6,148.8
Leonard Fournette,TB,RB,84.1,85.3,9.0,108.3,142.0
James Conner,ARI,RB,87.8,97.7,12.0,146.2,135.7
David Johnson,HOU,RB,91.0,92.9,10.0,165.3,146.7
A.J. Dillon,GB,RB,93.3,103.7,13.0,43.2,125.8
Zack Moss,BUF,RB,95.4,98.1,7.0,98.8,131.9
Devin Singletary,BUF,RB,99.7,115.5,7.0,119.1,110.5
Trey Sermon,SF,RB,103.4,87.9,6.0,0.0,126.0
Kenyan Drake,LV,RB,104.1,103.1,8.0,188.6,124.1
Gus Edwards,BAL,RB,105.5,113.7,8.0,134.5,126.0
Michael Carter,NYJ,RB,111.2,82.5,6.0,0.0,116.2
Tony Pollard,DAL,RB,116.6,119.5,7.0,104.6,102.9
Darrell Henderson Jr.,LAR,RB,117.1,105.9,11.0,128.9,192.4
Latavius Murray,NO,RB,118.2,127.7,6.0,127.7,113.7
Jamaal Williams,DET,RB,123.9,121.8,9.0,108.4,114.3
Alexander Mattison,MIN,RB,127.2,128.3,7.0,83.4,92.9
Phillip Lindsay,HOU,RB,127.5,141.3,10.0,66.6,89.5
Jeff Wilson Jr.,SF,RB,129.8,183.4,6.0,145.9,46.1
Nyheim Hines,IND,RB,144.4,125.3,14.0,146.9,99.2
Mark Ingram II,HOU,RB,146.9,180.8,10.0,52.9,49.9
J.D. McKissic,WAS,RB,149.7,112.2,9.0,125.7,88.6
Damien Williams,CHI,RB,152.2,182.8,10.0,0.0,59.3
Rashaad Penny,SEA,RB,155.1,145.9,9.0,4.3,81.5
Tevin Coleman,NYJ,RB,156.7,150.2,6.0,11.1,92.6
Chuba Hubbard,CAR,RB,160.1,174.3,13.0,0.0,67.0
Darrynton Evans,TEN,RB,173.9,195.6,13.0,15.9,59.8
Anthony McFarland Jr.,PIT,RB,176.2,337.3,7.0,18.8,32.7
Marlon Mack,IND,RB,177.2,165.1,14.0,7.1,56.4
Tarik Cohen,CHI,RB,178.2,144.5,10.0,13.0,80.2
Giovani Bernard,TB,RB,178.6,161.0,9.0,125.3,65.8
Javian Hawkins,ATL,RB,178.9,181.7,6.0,0.0,23.2
Devontae Booker,NYG,RB,180.4,179.1,10.0,77.5,58.8
James White,NE,RB,181.0,151.3,14.0,76.3,86.3
Justin Jackson,LAC,RB,181.9,188.0,7.0,52.2,57.1
Sony Michel,NE,RB,183.6,194.4,14.0,77.0,85.0
Darrel Williams,KC,RB,184.5,180.9,12.0,41.2,68.1
Malcolm Brown,MIA,RB,185.6,182.2,14.0,97.1,67.0
Jake Funk,LAR,RB,247.0,270.7,11.0,0.0,66.5
Salvon Ahmed,MIA,RB,250.4,185.2,14.0,65.4,64.8
Kenneth Gainwell,PHI,RB,251.5,178.3,14.0,0.0,64.7
Joshua Kelley,LAC,RB,254.9,274.1,7.0,65.6,63.1
Ty Johnson,NYJ,RB,258.3,276.4,6.0,53.4,62.0
Boston Scott,PHI,RB,264.0,271.8,14.0,79.6,58.2
Samaje Perine,CIN,RB,267.3,186.1,10.0,61.7,57.0
Cordarrelle Patterson,ATL,RB,271.8,282.0,6.0,47.8,55.8
Wayne Gallman II,SF,RB,273.0,284.3,6.0,130.4,54.5
Xavier Jones,LAR,RB,282.0,172.5,11.0,0.0,49.7
Qadree Ollison,ATL,RB,284.3,297.8,6.0,0.4,47.9
Rhamondre Stevenson,NE,RB,286.5,298.9,14.0,0.0,46.9
Kyle Juszczyk,SF,RB,289.9,285.4,6.0,70.6,46.2
Jerick McKinnon,KC,RB,294.4,292.2,12.0,105.1,44.8
La'Mical Perine,NYJ,RB,295.5,302.3,6.0,46.8,44.0
Elijah Mitchell,SF,RB,296.7,305.7,6.0,0.0,43.9
