Name,Team,Position,AverageDraftPosition,AverageDraftPositionPPR,ByeWeek,LastSeasonFantasyPoints,ProjectedFantasyPoints
Tyreek Hill,KC,WR,10.2,10.9,12.0,272.9,241.4
Davante Adams,GB,WR,14.6,15.3,13.0,274.6,222.3
Stefon Diggs,BUF,WR,15.8,13.8,7.0,227.4,193.5
DK Metcalf,SEA,WR,19.9,23.2,9.0,212.4,214.8
DeAndre Hopkins,ARI,WR,22.8,17.8,12.0,194.9,203.3
Calvin Ridley,ATL,WR,24.0,21.8,6.0,216.0,205.4
Justin Jefferson,MIN,WR,27.6,27.0,7.0,210.0,205.5
A.J. Brown,TEN,WR,28.8,30.0,13.0,193.5,213.0
Michael Thomas,NO,WR,33.7,32.0,6.0,49.5,184.5
Keenan Allen,LAC,WR,36.4,31.4,7.0,163.7,168.4
Terry McLaurin,WAS,WR,39.0,37.7,9.0,154.3,183.0
Mike Evans,TB,WR,41.8,48.2,9.0,201.5,184.6
Julio Jones,TEN,WR,43.5,45.2,13.0,107.3,172.7
Allen Robinson II,CHI,WR,45.2,40.6,10.0,181.5,183.4
Adam Thielen,MIN,WR,48.6,59.1,7.0,203.0,154.5
CeeDee Lamb,DAL,WR,51.0,40.6,7.0,155.3,167.0
Amari Cooper,DAL,WR,52.6,49.0,7.0,163.3,161.1
Chris Godwin,TB,WR,57.4,55.2,9.0,142.1,170.7
Robert Woods,LAR,WR,59.3,50.1,11.0,175.0,164.8
Ja'Marr Chase,CIN,WR,65.5,72.4,10.0,0.0,151.4
Kenny Golladay,NYG,WR,67.3,69.6,10.0,51.7,163.4
Cooper Kupp,LAR,WR,67.5,57.2,11.0,131.6,154.2
Tyler Lockett,SEA,WR,70.0,69.9,9.0,186.6,151.3
Diontae Johnson,PIT,WR,72.2,62.3,7.0,150.9,150.3
Odell Beckham Jr.,CLE,WR,75.1,77.5,13.0,72.0,145.0
DJ Moore,CAR,WR,75.7,65.3,13.0,164.1,168.5
Brandon Aiyuk,SF,WR,78.5,75.4,6.0,140.4,148.7
Chase Claypool,PIT,WR,83.0,82.9,7.0,172.5,149.6
Tee Higgins,CIN,WR,84.8,80.1,10.0,143.9,146.5
DeVonta Smith,PHI,WR,89.3,88.5,14.0,0.0,138.0
DJ Chark Jr.,JAX,WR,89.6,92.5,7.0,113.5,149.8
Courtland Sutton,DEN,WR,92.8,91.3,11.0,8.4,147.6
JuJu Smith-Schuster,PIT,WR,95.7,95.9,7.0,154.6,145.1
Tyler Boyd,CIN,WR,102.5,110.7,10.0,128.2,129.1
Robby Anderson,CAR,WR,104.7,101.0,13.0,145.6,139.5
Jarvis Landry,CLE,WR,109.0,124.6,13.0,130.8,123.9
Marquise Brown,BAL,WR,109.3,135.8,8.0,141.0,118.2
