Name,Team,Position,AverageDraftPosition,AverageDraftPositionPPR,ByeWeek,LastSeasonFantasyPoints,ProjectedFantasyPoints
Travis Kelce,KC,TE,11.2,10.9,12.0,234.4,216.0
Darren Waller,LV,TE,31.4,24.8,8.0,193.6,172.3
George Kittle,SF,TE,34.6,32.4,6.0,87.0,169.8
Kyle Pitts,ATL,TE,54.6,46.1,6.0,0.0,135.8
Mark Andrews,BAL,TE,59.8,59.1,8.0,126.4,148.2
T.J. Hockenson,DET,TE,67.2,64.4,9.0,122.2,130.4
Rob Gronkowski,TB,TE,85.4,132.1,9.0,117.7,109.1
Hunter Henry,NE,TE,95.4,107.0,14.0,96.2,102.4
Logan Thomas,WAS,TE,99.8,84.7,9.0,118.0,104.8
Dallas Goedert,PHI,TE,103.1,85.2,14.0,79.4,124.7
Evan Engram,NYG,TE,125.9,121.7,10.0,88.0,86.7
Mike Gesicki,MIA,TE,132.1,151.9,14.0,119.9,113.7
Jonnu Smith,NE,TE,144.8,171.7,14.0,111.9,94.4
Robert Tonyan,GB,TE,153.9,134.3,13.0,140.5,110.5
Tyler Higbee,LAR,TE,166.2,153.1,11.0,95.0,112.7
Noah Fant,DEN,TE,170.4,94.4,11.0,98.5,113.1
Irv Smith Jr.,MIN,TE,172.2,172.4,7.0,77.3,105.3
Zach Ertz,PHI,TE,182.2,182.1,14.0,46.8,77.2
Gerald Everett,SEA,TE,182.8,186.3,9.0,58.5,76.2
Jared Cook,LAC,TE,183.3,184.0,7.0,102.0,100.7
Adam Trautman,NO,TE,183.9,180.9,6.0,26.1,85.7
Anthony Firkser,TEN,TE,348.6,186.5,13.0,50.4,93.5
Austin Hooper,CLE,TE,355.3,346.3,13.0,76.1,90.4
Blake Jarwin,DAL,TE,357.6,189.2,7.0,1.5,88.4
Eric Ebron,PIT,TE,364.3,351.9,7.0,96.8,85.5
O.J. Howard,TB,TE,372.2,366.6,9.0,30.0,79.3
Cole Kmet,CHI,TE,376.8,355.3,10.0,38.4,78.2
Hayden Hurst,ATL,TE,380.1,367.7,6.0,105.0,75.0
Dawson Knox,BUF,TE,391.4,389.2,7.0,48.3,69.0
Chris Herndon,NYJ,TE,399.3,384.6,6.0,48.2,66.4
Jimmy Graham,CHI,TE,402.7,399.3,10.0,105.6,64.3
Jack Doyle,IND,TE,409.5,402.7,14.0,46.4,61.6
Mo Alie-Cox,IND,TE,410.6,405.0,14.0,55.7,61.2
Jordan Akins,HOU,TE,416.2,397.1,10.0,52.7,59.9
Dalton Schultz,DAL,TE,418.5,407.2,7.0,94.2,59.7
Dan Arnold,CAR,TE,423.0,409.5,13.0,74.2,58.2
David Njoku,CLE,TE,432.0,432.0,13.0,37.6,55.3
Tyler Conklin,MIN,TE,439.9,435.4,7.0,28.7,51.6
C.J. Uzomah,CIN,TE,443.3,428.6,10.0,16.6,50.5
Will Dissly,SEA,TE,453.5,444.4,9.0,41.8,48.9
Harrison Bryant,CLE,TE,461.4,447.8,13.0,42.6,46.0
Cameron Brate,TB,TE,469.2,458.0,9.0,45.3,41.4
Jacob Hollister,BUF,TE,471.5,454.6,7.0,46.1,40.9
Albert Okwuegbunam,DEN,TE,473.8,460.2,11.0,20.4,40.7
Kenny Yeboah,NYJ,TE,479.4,486.2,6.0,0.0,39.1
Kyle Rudolph,NYG,TE,495.2,473.8,10.0,42.2,37.9
Nick Boyle,BAL,TE,497.4,476.0,8.0,26.3,37.5
Donald Parham Jr.,LAC,TE,498.6,485.0,7.0,38.2,37.2
James O'Shaughnessy,JAX,TE,505.3,471.5,7.0,29.6,36.0
Pat Freiermuth,PIT,TE,507.6,482.8,7.0,0.0,35.9
Drew Sample,CIN,TE,512.1,465.9,10.0,43.9,35.0
Brevin Jordan,HOU,TE,514.4,487.3,10.0,0.0,34.7
Geoff Swaim,TEN,TE,520.0,492.9,13.0,16.1,32.6
