NAME,POSITION,PROJECTED_POINTS
Patrick Mahomes,QB,449
Josh Allen,QB,432.8
Kyler Murray,QB,407.2
Dak Prescott,QB,402.5
Lamar Jackson,QB,398.3
Justin Herbert,QB,385.7
Russell Wilson,QB,383.5
Aaron Rodgers,QB,372.1
Jalen Hurts,QB,364.4
Tom Brady,QB,364.2
Ryan Tannehill,QB,360.8
Matthew Stafford,QB,350.3
Joe Burrow,QB,338.7
Kirk Cousins,QB,318.1
Trevor Lawrence,QB,317.8
Matt Ryan,QB,316.3
Tua Tagovailoa,QB,312.9
Ryan Fitzpatrick,QB,311.7
Baker Mayfield,QB,311.3
Derek Carr,QB,310.3
Daniel Jones,QB,305.4
Carson Wentz,QB,301.3
Ben Roethlisberger,QB,297.8
Deshaun Watson,QB,292.9
Zach Wilson,QB,288.8
Sam Darnold,QB,282.6
Jared Goff,QB,275.8
Trey Lance,QB,271.6
Justin Fields,QB,269.3
Jameis Winston,QB,252
Cam Newton,QB,210.6
Teddy Bridgewater,QB,177.4
Tyrod Taylor,QB,171.7
Drew Lock,QB,144.6
Taysom Hill,QB,142.1
Christian McCaffrey,RB,308.7
Derrick Henry,RB,303.9
Dalvin Cook,RB,298
Jonathan Taylor,RB,261.4
Nick Chubb,RB,260.6
Ezekiel Elliott,RB,254.4
Saquon Barkley,RB,251.3
Alvin Kamara,RB,246.7
Aaron Jones,RB,241
Najee Harris,RB,228.2
Antonio Gibson,RB,227.8
Joe Mixon,RB,225.3
J.K. Dobbins,RB,215.4
David Montgomery,RB,214.6
Clyde Edwards-Helaire,RB,212.5
Josh Jacobs,RB,212.2
Miles Sanders,RB,210.4
Austin Ekeler,RB,209.5
D'Andre Swift,RB,208.9
Chris Carson,RB,206.7
Darrell Henderson Jr.,RB,192.4
Myles Gaskin,RB,188.2
Mike Davis,RB,179.7
Kareem Hunt,RB,163.7
Chase Edmonds,RB,162.3
Raheem Mostert,RB,161.9
James Robinson,RB,159.6
Javonte Williams,RB,157.3
Damien Harris,RB,155.4
Travis Etienne Jr.,RB,153.7
Ronald Jones II,RB,148.8
David Johnson,RB,146.7
Leonard Fournette,RB,142
Melvin Gordon III,RB,139.7
James Conner,RB,135.7
Zack Moss,RB,131.9
Gus Edwards,RB,126
Trey Sermon,RB,126
A.J. Dillon,RB,125.8
Kenyan Drake,RB,124.1
Michael Carter,RB,116.2
Jamaal Williams,RB,114.3
Latavius Murray,RB,113.7
Devin Singletary,RB,110.5
Tony Pollard,RB,102.9
Nyheim Hines,RB,99.2
Alexander Mattison,RB,92.9
Tevin Coleman,RB,92.6
Phillip Lindsay,RB,89.5
J.D. McKissic,RB,88.6
James White,RB,86.3
Sony Michel,RB,85
Rashaad Penny,RB,81.5
Tarik Cohen,RB,80.2
Darrel Williams,RB,68.1
Chuba Hubbard,RB,67
Malcolm Brown,RB,67
Jake Funk,RB,66.5
Giovani Bernard,RB,65.8
Salvon Ahmed,RB,64.8
Kenneth Gainwell,RB,64.7
Joshua Kelley,RB,63.1
Ty Johnson,RB,62
Darrynton Evans,RB,59.8
Damien Williams,RB,59.3
Devontae Booker,RB,58.8
Boston Scott,RB,58.2
Justin Jackson,RB,57.1
Samaje Perine,RB,57
Marlon Mack,RB,56.4
Tyreek Hill,WR,241.4
Davante Adams,WR,222.3
DK Metcalf,WR,214.8
A.J. Brown,WR,213
Justin Jefferson,WR,205.5
Calvin Ridley,WR,205.4
DeAndre Hopkins,WR,203.3
Stefon Diggs,WR,193.5
Mike Evans,WR,184.6
Michael Thomas,WR,184.5
Allen Robinson II,WR,183.4
Terry McLaurin,WR,183
Julio Jones,WR,172.7
Chris Godwin,WR,170.7
DJ Moore,WR,168.5
Keenan Allen,WR,168.4
CeeDee Lamb,WR,167
